failedPasswords,failedCodes,requestsPerMinute,mouseMovements,keystrokeAvgMs,isProxy,isHosting,hasSuspiciousUA,isOffHoursIST,previousBlocks,timeOnPageSeconds,scrollEvents,pageViews,isAttacker,scenario
2,2,19,0,50.7,False,False,True,True,2,7.9,0,1,1,credential_stuffing_bot
0,0,6,106,253.3,True,False,False,False,0,78.9,11,2,0,legit_on_vpn
0,0,0,91,201.9,False,False,False,False,0,28.5,13,3,0,casual_legit
0,0,4,221,353.8,False,False,False,False,0,80.4,11,4,0,casual_legit
0,0,1,0,293.9,False,False,False,True,0,46.3,7,1,0,mobile_legit
0,0,5,21,292.2,False,False,False,False,0,5.7,11,1,0,mobile_legit
5,0,20,0,32.5,True,True,False,True,0,5.1,0,2,1,credential_stuffing_bot
1,0,2,7,156.2,False,False,False,False,0,26.8,9,2,0,mobile_legit
2,0,2,33,262.5,False,False,False,False,0,80.7,4,1,0,mobile_legit
2,0,23,0,46.4,False,False,True,True,0,0.2,0,2,1,credential_stuffing_bot
0,0,6,136,241.4,False,False,False,True,0,33.3,6,3,0,casual_legit
1,0,41,2,,False,True,True,False,0,4.6,1,17,1,scraper_bot
3,1,31,0,,False,False,True,False,2,1.4,0,1,1,credential_stuffing_bot
0,0,60,0,,False,True,True,False,0,1.6,1,21,1,scraper_bot
0,0,3,8,,False,False,False,False,0,8.6,3,2,0,mobile_legit
1,0,5,144,188.7,False,False,False,False,0,45.7,4,1,0,legit_password_typo
1,1,5,150,201.2,False,False,False,False,0,94.2,11,3,0,legit_password_typo
4,2,15,65,187.3,True,False,False,False,1,6.4,6,7,1,careful_human_attacker
0,0,1,211,217.6,False,False,False,False,0,20.6,7,3,0,casual_legit
0,1,15,12,85.0,True,False,False,True,3,4.2,2,5,1,repeat_offender
1,0,0,231,222.8,False,False,False,True,0,33.3,8,2,0,casual_legit
1,0,22,2,22.6,False,True,True,False,0,0.3,0,19,1,scraper_bot
4,4,0,130,266.1,False,False,False,True,0,45.6,5,3,1,careful_human_attacker
0,0,4,156,156.4,False,False,False,False,0,66.1,7,3,0,casual_legit
3,0,29,0,38.5,True,True,False,True,0,1.2,0,2,1,credential_stuffing_bot
0,0,5,203,195.5,False,False,False,True,0,9.3,11,6,0,casual_legit
0,0,4,208,150.4,False,False,False,False,0,19.5,3,1,0,casual_legit
0,0,4,0,313.3,False,False,False,False,0,57.2,3,1,0,mobile_legit
3,0,15,0,,True,True,True,True,0,0.8,2,2,1,credential_stuffing_bot
3,1,13,169,176.7,True,False,False,False,0,106.4,5,2,1,careful_human_attacker
0,0,21,1,,True,True,False,False,0,1.1,0,11,1,scraper_bot
2,0,28,0,64.2,False,False,True,False,2,3.1,0,2,1,credential_stuffing_bot
1,0,4,58,255.8,False,False,False,False,0,13.3,14,1,0,casual_legit
1,1,6,201,243.9,False,False,False,False,0,59.4,11,2,0,legit_password_typo
0,1,5,28,335.7,True,False,False,False,0,18.5,5,1,0,mobile_legit
2,0,1,101,227.7,False,False,False,True,0,17.7,10,3,0,casual_legit
0,0,1,22,291.1,False,False,True,False,0,10.8,4,1,0,mobile_legit
2,0,4,136,138.5,False,False,False,True,0,59.4,11,3,0,legit_password_typo
2,1,15,9,,True,True,False,False,1,5.7,3,2,1,repeat_offender
0,0,2,170,215.6,False,False,False,False,0,22.8,10,2,0,casual_legit
1,0,2,214,214.5,False,False,False,False,0,8.8,5,1,0,casual_legit
4,0,17,0,41.0,True,False,True,False,0,0.2,0,2,1,credential_stuffing_bot
0,0,4,179,248.7,False,False,False,False,0,9.8,9,4,0,casual_legit
0,0,5,136,275.4,False,False,False,False,0,11.8,13,4,0,legit_password_typo
0,0,28,1,31.2,True,True,True,False,0,1.9,1,25,1,scraper_bot
1,0,3,16,308.6,False,False,False,False,1,16.1,8,1,0,mobile_legit
0,0,2,193,280.9,False,False,False,True,0,7.2,6,1,0,casual_legit
1,1,0,27,,False,False,False,False,0,65.9,7,3,0,mobile_legit
1,0,3,176,220.6,False,False,False,False,0,74.3,6,1,0,casual_legit
3,3,10,90,224.7,True,False,False,False,0,18.9,10,1,1,careful_human_attacker
6,1,27,0,38.6,True,True,False,False,0,1.8,0,1,1,credential_stuffing_bot
3,0,3,72,147.3,False,False,False,False,0,69.3,5,3,0,legit_password_typo
2,0,5,150,249.9,False,False,False,True,0,60.8,10,1,0,casual_legit
0,1,5,159,236.9,False,False,False,False,0,38.6,9,1,0,casual_legit
1,0,3,21,238.2,False,False,False,False,0,4.3,10,4,0,mobile_legit
4,0,3,146,171.9,False,False,False,False,0,82.0,12,4,0,legit_password_typo
0,0,1,83,183.6,False,False,False,False,0,10.8,6,2,0,casual_legit
4,3,14,239,174.7,False,False,False,False,1,27.7,6,4,1,careful_human_attacker
0,0,0,96,192.3,False,False,False,False,0,30.8,7,2,0,casual_legit
0,1,4,76,142.2,False,False,False,False,0,44.0,6,2,0,casual_legit
0,0,3,185,188.3,True,False,True,True,0,71.9,8,2,0,casual_legit
1,1,22,1,,True,True,True,True,0,1.3,1,12,1,scraper_bot
1,0,52,1,15.0,True,True,True,False,0,3.7,0,20,1,scraper_bot
0,0,2,13,333.6,False,False,False,False,0,62.8,7,2,0,mobile_legit
0,0,4,206,219.3,False,False,False,False,0,89.3,6,1,0,casual_legit
0,0,1,181,215.0,False,False,True,False,0,23.8,6,2,0,casual_legit
0,0,6,9,237.4,False,False,False,False,0,23.0,7,2,0,mobile_legit
2,1,8,6,80.3,False,False,True,True,3,9.8,0,3,1,repeat_offender
5,3,10,141,329.0,True,True,False,True,3,8.9,10,3,1,careful_human_attacker
0,0,4,96,243.3,True,False,False,True,0,7.1,9,2,0,legit_on_vpn
0,0,3,0,265.7,False,False,False,True,0,28.4,10,2,0,mobile_legit
2,0,3,303,233.1,False,False,False,False,0,20.1,12,4,0,casual_legit
2,0,36,0,,False,False,False,False,1,7.4,1,2,1,credential_stuffing_bot
1,0,1,127,181.9,False,False,False,False,0,31.9,6,6,0,casual_legit
0,0,1,54,188.2,False,False,False,False,0,16.8,7,2,1,casual_legit
6,0,7,0,,True,False,True,True,1,0.7,1,1,1,credential_stuffing_bot
0,0,5,167,203.0,False,False,False,False,0,57.3,6,2,1,casual_legit
0,0,0,173,310.6,False,False,False,False,0,7.2,4,3,0,casual_legit
0,0,1,262,199.5,False,False,False,False,0,138.0,8,3,0,legit_password_typo
3,0,5,153,177.5,False,False,False,False,0,55.2,5,3,0,legit_password_typo
1,0,8,11,77.4,True,False,False,False,1,1.3,2,3,1,repeat_offender
0,0,2,372,169.2,True,False,False,False,0,22.2,7,6,0,casual_legit
1,0,1,72,203.7,False,False,False,False,0,10.7,10,1,0,casual_legit
3,0,34,0,,False,True,True,False,0,1.6,0,1,1,credential_stuffing_bot
0,0,2,127,177.4,False,False,False,True,0,20.3,6,2,0,casual_legit
0,0,37,2,36.5,False,True,True,True,0,2.9,2,13,1,scraper_bot
2,5,11,123,164.8,True,False,False,False,0,6.0,4,3,1,careful_human_attacker
2,0,1,246,189.6,False,False,False,False,0,23.9,8,2,0,casual_legit
3,1,27,0,,False,True,False,False,0,0.9,1,1,1,credential_stuffing_bot
0,0,2,179,233.7,False,False,False,True,0,17.7,8,2,0,casual_legit
0,0,3,115,198.3,False,False,False,False,0,16.6,12,2,0,casual_legit
7,0,8,85,193.1,False,False,False,True,1,11.3,6,2,1,careful_human_attacker
2,1,24,1,49.5,True,False,True,False,2,3.1,0,1,1,credential_stuffing_bot
0,1,1,118,184.9,True,False,False,False,0,57.7,4,3,0,legit_on_vpn
4,1,24,0,,True,True,False,True,1,0.4,0,1,1,credential_stuffing_bot
0,0,2,158,183.1,False,False,False,True,0,32.6,6,7,0,casual_legit
0,0,1,190,171.2,True,False,False,False,0,18.1,4,1,0,legit_on_vpn
1,0,40,1,,False,True,True,False,2,4.6,0,15,1,scraper_bot
0,0,1,3,219.1,False,False,False,False,0,50.6,6,1,0,mobile_legit
3,1,41,0,20.4,True,True,False,False,0,3.4,0,1,1,credential_stuffing_bot
0,0,3,182,196.4,False,False,False,False,0,25.9,8,1,0,casual_legit
0,1,52,0,17.6,False,True,True,False,0,0.4,1,11,1,scraper_bot
0,0,0,33,388.4,False,False,False,False,0,24.6,5,2,0,mobile_legit
2,0,48,0,,False,True,True,True,0,1.2,2,18,1,scraper_bot
0,2,30,1,,False,True,True,True,0,5.7,1,12,1,scraper_bot
0,0,32,1,,False,True,True,True,0,5.7,1,11,1,scraper_bot
0,0,6,15,354.1,False,False,False,False,0,29.8,7,1,0,mobile_legit
3,1,3,94,227.8,False,True,False,True,3,35.0,4,1,1,careful_human_attacker
0,0,1,159,194.7,False,False,False,False,0,23.8,3,2,0,casual_legit
0,0,3,200,298.2,False,False,False,False,0,18.7,6,1,0,casual_legit
0,0,2,144,241.9,False,False,False,False,0,13.1,5,2,0,casual_legit
0,0,4,41,278.9,False,False,False,False,0,106.1,5,1,0,casual_legit
2,0,11,58,254.5,True,False,False,True,2,36.0,6,2,1,careful_human_attacker
0,0,2,31,328.6,False,False,False,False,0,134.7,6,1,0,mobile_legit
0,0,4,156,204.1,False,False,False,False,0,9.6,13,1,0,casual_legit
0,0,3,19,257.3,False,False,False,True,0,7.8,5,4,0,mobile_legit
0,1,2,21,183.2,False,False,False,False,0,17.1,4,1,0,mobile_legit
0,0,4,32,371.9,False,False,False,False,0,14.5,6,2,0,mobile_legit
0,0,3,19,326.1,True,False,False,True,0,15.5,4,1,0,mobile_legit
0,0,4,144,250.6,False,False,False,False,0,18.9,1,1,0,casual_legit
1,0,3,133,232.3,False,True,False,True,1,17.4,7,3,0,careful_human_attacker
1,0,53,1,19.8,False,True,True,True,0,0.9,1,18,1,scraper_bot
0,0,5,153,,False,False,False,False,0,21.1,13,1,0,casual_legit
0,0,3,151,277.4,False,False,False,False,0,33.0,6,3,0,casual_legit
6,0,9,156,,False,False,True,False,0,30.2,11,4,1,careful_human_attacker
2,1,32,8,55.7,False,True,True,False,3,2.6,1,4,1,repeat_offender
0,0,1,143,296.4,False,False,False,False,0,18.5,14,2,0,casual_legit
0,0,2,164,232.3,False,False,False,False,0,23.0,10,2,0,casual_legit
1,0,4,212,186.7,False,False,False,False,0,39.9,10,3,0,legit_password_typo
0,0,1,157,232.3,False,False,True,False,0,11.4,6,2,0,casual_legit
9,2,33,1,41.9,False,False,False,True,2,3.4,0,2,1,credential_stuffing_bot
4,2,29,0,26.0,True,False,True,False,2,0.9,0,1,1,credential_stuffing_bot
2,0,20,5,,False,False,False,False,2,4.0,2,6,1,repeat_offender
2,1,42,0,,True,False,True,False,0,2.3,3,1,1,credential_stuffing_bot
5,1,23,0,,True,True,True,False,1,2.1,1,1,1,credential_stuffing_bot
0,0,3,134,205.1,False,False,False,False,0,31.2,8,2,0,casual_legit
0,0,0,143,204.1,False,False,False,False,0,56.0,7,2,0,casual_legit
0,0,34,3,,False,False,True,False,0,0.4,0,11,1,scraper_bot
0,0,3,170,213.3,False,False,False,False,0,31.3,14,4,0,casual_legit
0,1,16,0,62.2,True,True,True,True,0,0.6,2,14,1,scraper_bot
0,1,32,9,,False,False,False,False,3,3.8,3,4,1,repeat_offender
0,0,2,105,260.0,True,False,False,False,0,89.5,7,2,0,legit_on_vpn
0,0,1,163,223.3,False,False,False,False,0,22.7,11,3,0,casual_legit
9,0,17,0,42.9,False,True,False,True,0,1.8,0,1,1,credential_stuffing_bot
4,2,33,0,33.8,True,True,True,True,0,4.3,0,1,0,credential_stuffing_bot
6,2,14,0,61.7,False,False,False,False,0,0.4,0,3,1,credential_stuffing_bot
0,0,3,88,271.1,False,False,False,False,0,26.4,12,3,0,casual_legit
4,0,11,264,180.9,False,False,False,False,1,32.1,7,2,1,careful_human_attacker
2,1,6,190,197.9,False,False,False,False,0,103.6,12,3,0,legit_password_typo
7,0,36,1,30.4,True,True,True,True,0,3.1,1,3,1,credential_stuffing_bot
1,0,4,8,254.7,False,False,False,False,0,158.5,5,2,0,mobile_legit
0,0,2,191,213.2,False,False,False,False,0,90.6,8,4,0,casual_legit
3,2,3,85,236.1,True,False,False,True,0,29.4,2,3,1,careful_human_attacker
0,0,2,159,219.2,False,False,False,True,0,23.1,6,3,0,casual_legit
0,0,0,167,246.3,False,False,False,False,0,23.3,6,1,0,casual_legit
0,0,1,0,185.9,False,False,False,False,0,118.6,8,1,0,mobile_legit
0,0,2,87,284.4,False,False,False,False,0,25.4,11,2,0,casual_legit
0,0,2,131,250.1,False,False,False,False,0,16.6,10,4,0,casual_legit
0,0,2,1,378.2,True,False,True,False,0,69.3,8,2,0,mobile_legit
0,0,4,297,241.7,False,False,False,True,0,10.4,9,1,0,casual_legit
1,0,5,161,,False,False,False,False,0,8.0,10,5,0,legit_password_typo
0,0,4,204,247.8,False,False,False,False,0,27.2,10,3,0,casual_legit
0,0,2,28,358.4,False,False,False,False,0,54.9,10,1,0,mobile_legit
2,1,0,4,57.3,True,True,False,True,1,7.2,2,3,1,repeat_offender
6,1,39,0,,True,True,True,True,0,0.9,0,2,1,credential_stuffing_bot
0,0,5,280,208.1,False,False,False,False,0,11.5,6,3,0,casual_legit
6,0,23,0,31.4,True,True,True,False,1,1.1,0,1,1,credential_stuffing_bot
0,0,2,105,236.1,False,False,False,False,0,116.6,7,2,0,casual_legit
2,0,29,0,15.8,False,False,True,False,1,1.0,0,1,1,credential_stuffing_bot
0,0,2,0,173.2,False,False,False,True,0,13.4,5,1,0,mobile_legit
0,0,3,294,261.0,True,False,False,False,0,31.3,11,3,0,legit_on_vpn
0,0,27,6,115.0,False,False,True,False,4,4.6,1,5,1,repeat_offender
5,2,7,180,226.9,False,False,True,False,0,58.8,10,4,1,careful_human_attacker
0,0,3,236,210.8,False,False,False,False,0,108.6,8,4,0,casual_legit
1,0,3,0,373.5,False,False,False,False,0,59.4,5,3,0,mobile_legit
0,0,2,7,320.2,False,False,False,False,0,23.0,8,1,0,mobile_legit
0,0,37,0,15.0,False,True,True,False,0,2.1,0,7,1,scraper_bot
0,0,2,14,,False,False,False,True,0,19.5,7,4,1,mobile_legit
1,0,2,154,268.1,False,False,False,False,0,109.8,11,3,0,casual_legit
0,0,1,181,280.1,False,False,False,True,0,15.7,12,2,1,casual_legit
0,0,3,216,277.3,True,False,False,False,0,59.9,9,2,0,legit_on_vpn
1,0,2,29,301.2,False,False,False,False,0,77.9,7,3,0,mobile_legit
0,0,2,105,247.9,False,False,False,False,0,35.1,8,1,0,casual_legit
1,0,1,116,186.9,False,False,False,False,0,7.2,11,1,0,casual_legit
0,0,4,244,252.7,False,False,False,False,0,17.0,10,1,0,casual_legit
0,0,4,97,168.6,True,False,False,False,0,53.2,8,3,0,casual_legit
1,0,3,217,167.5,False,False,False,False,0,37.2,9,1,0,legit_password_typo
4,1,12,194,245.2,False,False,False,False,0,4.2,4,2,1,careful_human_attacker
0,0,49,0,60.4,True,True,True,False,1,3.5,0,10,1,scraper_bot
0,0,1,302,229.5,False,False,False,False,0,31.2,12,4,0,casual_legit
4,1,4,199,264.5,False,False,False,True,0,24.1,6,1,1,careful_human_attacker
0,0,50,1,15.0,False,True,True,False,0,2.6,1,16,1,scraper_bot
0,0,6,197,157.5,False,False,False,False,0,20.9,8,1,0,casual_legit
8,2,19,1,21.4,False,False,True,False,1,2.5,1,2,1,credential_stuffing_bot
0,0,2,255,219.3,False,False,False,False,0,11.3,5,3,0,casual_legit
3,2,12,5,67.7,True,False,False,False,4,3.1,0,3,1,repeat_offender
0,0,1,5,380.4,False,False,False,False,0,115.3,4,1,0,mobile_legit
0,0,1,83,185.6,True,False,False,False,0,7.7,11,2,0,casual_legit
1,1,30,0,23.4,False,True,True,False,0,3.1,0,1,1,credential_stuffing_bot
1,0,7,163,208.4,False,False,False,False,0,122.6,12,2,0,legit_password_typo
2,0,1,114,261.5,False,False,False,False,0,34.5,11,2,0,legit_password_typo
0,0,0,252,163.1,False,False,False,False,0,6.2,8,2,0,casual_legit
1,0,4,189,133.5,True,False,False,False,0,29.6,13,1,0,legit_password_typo
1,0,4,139,212.2,False,False,False,True,0,13.1,10,5,0,casual_legit
1,1,15,202,207.9,False,False,True,False,0,14.7,10,2,1,careful_human_attacker
6,2,7,1,,False,False,True,False,0,1.0,0,3,1,credential_stuffing_bot
1,0,1,195,290.0,False,False,False,False,0,71.6,13,3,0,casual_legit
5,1,7,107,216.0,False,False,False,False,1,29.1,6,3,1,careful_human_attacker
0,0,4,220,200.3,False,False,False,False,0,19.6,6,2,0,casual_legit
1,1,5,308,190.8,False,False,False,False,0,13.5,6,5,0,casual_legit
0,0,5,292,,False,False,False,False,0,15.9,8,3,0,casual_legit
0,0,6,137,,False,False,False,True,0,10.7,9,1,0,legit_password_typo
2,1,12,234,273.0,True,False,True,True,0,23.0,9,3,0,careful_human_attacker
0,0,5,136,257.7,True,False,False,False,0,15.7,6,3,0,legit_on_vpn
0,0,5,169,294.4,False,False,False,True,0,69.3,4,4,0,casual_legit
1,0,3,150,238.6,False,False,False,False,0,67.8,12,3,0,legit_password_typo
0,0,29,1,,False,True,True,True,0,1.3,0,15,1,scraper_bot
0,0,4,247,229.8,False,False,False,False,0,28.7,6,4,0,casual_legit
0,0,2,113,176.3,False,False,False,False,0,6.1,8,1,0,casual_legit
1,0,33,1,,False,True,True,False,0,1.1,1,17,1,scraper_bot
0,1,3,234,220.3,False,False,False,False,0,46.0,10,2,0,casual_legit
0,0,2,79,131.6,False,False,False,False,1,14.7,9,3,0,casual_legit
5,1,5,9,,True,True,True,False,0,7.7,1,3,0,repeat_offender
0,1,17,8,51.8,True,False,True,True,3,4.5,2,4,1,repeat_offender
0,0,2,206,256.2,False,False,False,False,0,25.3,12,2,0,casual_legit
0,0,3,227,175.6,False,False,False,False,0,13.9,14,4,0,casual_legit
1,0,4,245,158.2,False,False,False,False,0,101.2,11,2,0,casual_legit
0,0,2,132,250.7,False,False,False,False,0,44.8,11,2,0,casual_legit
1,2,8,8,118.5,True,False,True,True,1,1.2,1,2,1,repeat_offender
0,0,1,251,,False,False,False,False,0,149.3,12,2,0,casual_legit
3,0,14,7,107.2,True,False,True,True,1,15.3,4,3,1,repeat_offender
0,0,0,270,256.1,False,False,False,True,0,17.6,10,3,1,casual_legit
0,0,2,136,,False,False,False,False,0,36.4,4,3,0,casual_legit
0,0,23,1,44.3,True,True,True,False,0,0.8,0,17,1,scraper_bot
1,1,21,3,105.9,True,True,False,False,1,3.3,0,4,0,repeat_offender
5,1,20,1,35.9,False,True,True,False,0,1.7,0,1,1,credential_stuffing_bot
1,0,1,73,196.3,False,False,False,True,0,96.2,9,1,0,casual_legit
0,0,1,69,301.9,False,False,False,True,0,63.8,6,2,0,casual_legit
5,1,23,1,27.5,False,True,True,False,2,1.0,0,2,1,credential_stuffing_bot
0,0,4,19,345.1,False,False,False,False,0,43.1,8,2,0,mobile_legit
0,0,4,20,306.9,False,False,False,False,0,123.5,7,2,0,mobile_legit
0,0,4,236,235.2,False,False,False,False,0,65.5,5,4,0,casual_legit
0,0,27,0,18.5,True,True,True,False,2,4.1,0,21,1,scraper_bot
0,0,3,8,335.7,False,False,False,False,0,11.7,7,1,0,mobile_legit
0,0,0,27,268.3,False,False,False,False,0,5.4,5,2,0,mobile_legit
0,0,4,160,173.2,False,False,False,False,0,44.3,10,2,0,casual_legit
0,0,45,1,,False,True,True,False,1,3.7,0,17,1,scraper_bot
0,0,2,147,209.2,False,False,False,False,0,82.2,9,2,0,casual_legit
2,2,21,12,45.3,True,False,True,False,2,6.3,1,5,1,repeat_offender
0,0,4,128,249.0,False,False,False,False,0,8.1,13,1,0,casual_legit
0,0,4,223,201.0,True,False,False,False,0,46.8,8,2,0,legit_on_vpn
1,0,34,1,73.2,True,True,True,True,0,1.2,1,16,1,scraper_bot
0,0,6,41,221.0,False,False,False,True,0,21.6,6,2,0,casual_legit
0,0,5,180,233.5,False,False,False,False,0,23.1,8,3,0,casual_legit
0,2,11,7,38.5,False,True,False,True,4,1.1,1,5,1,repeat_offender
1,0,2,189,227.4,False,False,False,False,0,75.7,6,1,0,casual_legit
0,0,2,161,224.0,False,False,False,False,0,14.7,6,3,0,casual_legit
3,1,11,7,94.2,True,False,True,False,2,2.1,6,4,1,repeat_offender
0,0,0,133,162.6,True,False,False,True,0,13.5,11,2,1,legit_on_vpn
2,0,4,172,220.7,False,False,False,False,0,38.3,11,5,0,legit_password_typo
0,0,3,26,276.1,False,False,False,False,0,33.1,7,1,0,mobile_legit
4,4,6,103,202.0,False,True,False,False,2,57.6,4,3,1,careful_human_attacker
0,0,4,179,249.8,False,False,False,False,0,38.0,12,1,0,casual_legit
1,0,4,164,199.7,False,False,False,False,0,46.9,9,3,0,casual_legit
0,0,3,74,153.7,False,False,False,False,0,103.7,13,1,1,casual_legit
0,0,4,107,307.8,False,False,False,False,0,94.7,9,1,0,casual_legit
0,0,5,165,233.8,False,False,False,False,0,34.3,15,2,0,casual_legit
0,0,1,213,168.1,False,False,False,True,0,6.4,15,5,0,casual_legit
0,1,3,6,429.2,False,False,False,False,0,12.1,4,3,0,mobile_legit
0,0,53,3,,False,True,True,True,0,5.1,1,14,0,scraper_bot
0,0,6,254,168.5,False,False,False,False,0,18.5,5,4,0,casual_legit
0,0,30,0,15.0,True,True,True,False,0,1.3,0,9,1,scraper_bot
0,0,2,171,144.8,False,False,False,False,0,140.3,8,3,0,casual_legit
0,0,6,113,248.4,False,False,False,False,0,32.7,8,3,0,casual_legit
0,0,1,60,171.1,False,False,False,False,0,22.3,13,5,0,legit_password_typo
3,0,3,147,,False,False,False,False,0,19.8,7,2,0,legit_password_typo
0,0,3,31,323.4,False,False,False,False,0,56.5,1,3,0,mobile_legit
2,2,4,125,280.6,True,False,False,True,0,52.0,6,4,1,careful_human_attacker
0,0,2,289,223.8,False,False,False,False,0,86.5,9,6,0,casual_legit
0,0,1,11,384.5,False,False,False,False,0,45.1,6,2,0,mobile_legit
5,1,36,0,,False,True,True,False,0,1.3,1,1,1,credential_stuffing_bot
0,0,0,0,237.6,False,False,False,False,0,53.0,4,2,0,mobile_legit
0,0,2,248,202.2,False,False,False,False,0,60.5,5,2,0,casual_legit
0,0,3,223,195.4,False,False,False,False,0,5.8,8,5,0,casual_legit
0,0,6,24,232.0,False,False,False,True,0,9.5,5,1,0,casual_legit
0,0,2,260,,False,False,False,False,0,65.4,6,3,0,casual_legit
3,3,13,6,97.3,False,False,False,True,4,1.1,4,4,1,repeat_offender
0,0,3,10,248.0,False,False,False,False,0,37.1,3,2,1,mobile_legit
0,0,38,1,45.3,False,True,True,False,1,2.0,0,15,1,scraper_bot
0,0,3,247,,False,False,False,False,0,82.0,12,1,0,casual_legit
3,2,7,130,231.4,False,False,False,False,0,56.5,12,3,1,careful_human_attacker
0,0,31,1,,False,True,True,False,1,10.4,1,11,1,scraper_bot
1,0,4,10,167.4,False,False,False,False,5,2.1,4,3,1,repeat_offender
0,0,15,6,92.6,False,False,False,True,3,16.9,4,2,1,repeat_offender
3,1,16,10,90.5,True,True,True,True,4,2.1,2,5,1,repeat_offender
0,0,2,70,218.5,False,False,False,False,0,81.1,8,2,0,casual_legit
0,0,29,1,41.9,False,True,True,False,0,5.1,0,22,1,scraper_bot
2,0,5,190,104.8,False,False,False,False,0,50.1,11,1,0,legit_password_typo
4,0,7,1,29.7,False,False,True,False,1,3.0,1,2,1,credential_stuffing_bot
0,0,0,234,228.4,False,False,False,False,0,119.9,6,2,0,casual_legit
0,0,2,165,186.8,False,False,True,False,0,86.9,14,3,0,casual_legit
0,0,4,67,,False,False,False,False,0,28.0,13,2,0,casual_legit
6,0,34,0,,False,True,True,False,1,0.4,0,1,1,credential_stuffing_bot
1,2,16,6,83.1,True,False,False,False,1,8.4,2,5,1,repeat_offender
1,0,43,1,,False,True,True,False,1,0.9,0,11,1,scraper_bot
0,0,3,18,285.8,False,False,False,False,0,41.7,2,2,0,mobile_legit
0,0,4,191,307.6,False,False,False,False,0,12.7,6,4,0,casual_legit
1,0,8,222,209.0,False,False,False,False,0,59.0,14,2,0,legit_password_typo
2,0,68,1,,True,True,True,True,0,2.2,0,11,1,scraper_bot
1,0,6,286,231.0,False,False,False,False,0,107.3,11,2,0,legit_password_typo
1,0,2,229,230.8,False,False,False,True,0,6.4,12,6,0,casual_legit
0,0,21,8,93.9,False,True,False,False,3,7.0,5,1,1,repeat_offender
5,2,8,193,224.0,True,False,False,False,2,24.8,6,8,1,careful_human_attacker
5,0,19,0,30.8,True,False,False,False,1,2.8,1,1,1,credential_stuffing_bot
1,0,6,113,207.4,False,False,False,False,0,117.1,15,3,0,legit_password_typo
1,0,6,222,179.0,True,False,False,False,0,52.5,9,3,0,legit_on_vpn
3,1,3,7,44.3,True,False,False,False,1,1.3,2,3,1,repeat_offender
0,0,3,186,139.8,False,False,False,False,0,118.8,11,4,0,casual_legit
